"id","input","scenegraph","is_reasonable","is_annotated"
"item_0048","In a vibrant playground, children laugh and play on swings and slides, with colorful equipment filling the area. Picnic tables under shady trees invite families to enjoy snacks together.","","true","false"
"item_0049","In a historical museum, ancient artifacts are displayed in glass cases, with placards providing detailed descriptions. Dim lighting allows visitors to appreciate the beauty of the exhibits without distraction.","","true","false"
"item_0050","A bustling airport terminal features rows of check-in kiosks and departure gates, with travelers maneuvering their luggage through the busy space. Large screens display flight information and boarding times.","","true","false"
"item_0051","At a majestic waterfall, crystal-clear water cascades over rocks, surrounded by lush vegetation. A rocky path leads enthusiasts closer, while the sound of rushing water provides a sense of tranquility.","","true","false"
"item_0052","A charming bed-and-breakfast features a cozy room adorned with vintage decor. A floral quilt covers the bed, while freshly cut flowers sit in a vase on the bedside table, enhancing the welcoming atmosphere.","","true","false"
"item_0053","In a bustling concert venue, a large stage is set with instruments awaiting the performance. Colorful lights create an electric ambiance as fans eagerly gather, buzzing with excitement.","","true","false"
"item_0054","An inviting winery features rows of grapevines stretching across rolling hills. A rustic tasting room is adorned with wooden barrels, where visitors sip red and white wines while enjoying picturesque views.","","true","false"
"item_0055","At an animal shelter, the sound of barking dogs fills the air as volunteers tend to the furry residents. Cages are lined with colorful blankets, while a play area outside provides space for socialization.","","true","false"
"item_0056","On a serene oceanfront balcony, a table is set for two with plates of fresh seafood and a chilled bottle of white wine. The sound of waves crashing below creates a calming backdrop for an evening.","","true","false"
"item_0057","In a modern hospital room, a neatly made bed with crisp white linens awaits a patient. Various medical equipment stands ready beside, and a soft blue curtain separates the room from the hallway.","","true","false"
"item_0058","A lively dance studio features mirrors lining the walls, with wooden floors polished for movement. Ballet barre lines one side, while colorful poles for fitness classes are placed thoughtfully throughout.","","true","false"
"item_0059","At a family reunion site, picnic tables are adorned with checkered tablecloths, holding bowls of pasta salad and trays of grilled meat. Laughter and joy fill the air as relatives reconnect and celebrate.","","true","false"
"item_0060","In a quaint quilting shop, colorful fabrics hang from the walls while baskets filled with threads occupy each corner. Workstations await crafting enthusiasts eager to create their next masterpiece.","","true","false"
"item_0061","A contemporary art studio buzzes with energy, where artists are immersed in their work. Canvases on easels capture the vibrancy of the space, with palettes and brushes scattered across large tables.","","true","false"
"item_0062","On a vibrant city street, a lovely café spills out onto the sidewalk with colorful chairs and tables. Aroma from freshly brewed coffee wafts through the air, inviting passerby’s to sit and relax.","","true","false"
"item_0063","An expansive skate park features ramps and rails for skaters to practice their tricks. Spectators line the edges, cheering as talented skaters demonstrate their skills on the concrete platform.","","true","false"
"item_0064","In a charming nursery school, colorful artwork adorns the walls, while small tables hold crayons and playdough for artistic expression. A soft reading corner invites children to lose themselves in stories.","","true","false"
"item_0065","An outdoor pool area features lounge chairs arranged around a sparkling pool, with fluffy towels draped over the sides. Potted plants provide privacy, while a bar offers refreshing tropical drinks.","","true","false"
"item_0066","A historic lighthouse stands tall on a rocky shore, surrounded by crashing waves and seagulls flying overhead. An old wooden staircase leads to the top where panoramic views of the ocean await.","","true","false"
"item_0067","In a serene meditation space, cushions and mats are neatly arranged for tranquility. Soft ambient lighting and calming colors create a perfect atmosphere for relaxation and mindfulness practices.","","true","false"
"item_0068","A stylish clothing boutique showcases racks of dresses, shoes, and accessories, with mirrors positioned throughout for fitting. A cash register near the entrance is attended by friendly staff ready to help.","","true","false"
"item_0069","At a picturesque picnic area, a checkered blanket is laid out beneath a shady tree, featuring an assortment of snacks and sparkling juice. Nearby, children chase butterflies fluttering through the warm breeze.","","true","false"
"item_0070","In an expansive warehouse, rows of stacked shelves hold an assortment of materials and supplies. Forklifts beep softly while workers move around efficiently, creating a sense of productivity.","","true","false"
"item_0071","A charming chocolate shop tempts customers with glass cases filled with artisan chocolates and pastries. The air is rich with chocolate aroma, while beautifully wrapped gifts sit in colorful boxes.","","true","false"
"item_0072","In a botanical research lab, various plants are neatly arranged under bright grow lights. Cloning equipment and soil samples are meticulously organized on countertops, reflecting a commitment to research.","","true","false"
"item_0073","At a scenic lookout point, wooden benches face beautiful mountain vistas, offering visitors a place to pause and soak in the view. A signpost with direction arrows points to nearby trails and landmarks.","","true","false"
"item_0074","In a cozy knitting circle, balls of vibrant yarn sit in baskets, while members chat softly about their projects. Patterns spread across tables as knitters bring their ideas to life, surrounded by laughter.","","true","false"
"item_0075","A trendy rooftop bar showcases stunning city views as customers sip cocktails surrounded by flickering string lights. Modern furniture provides a stylish environment, complete with a DJ spinning tunes.","","true","false"
"item_0076","On a sunny balcony, potted herbs thrive in sunlight next to a grill. A bistro table is set for brunch with freshly baked bread and a pitcher of lemonade, inviting relaxation and enjoyment.","","true","false"
"item_0077","In a well-stocked library, reinforced shelves line the walls filled with categorically organized books. Cozy armchairs invite quiet reading, while sunlight streams through large windows illuminating the space.","","true","false"
"item_0078","An inviting sushi restaurant features wooden sushi counter seating where chefs prepare fresh rolls. Elegantly arranged plates overflowing with food create a visual feast for diners as they indulge.","","true","false"
"item_0079","In a dynamic science classroom, lab benches are equipped with beakers and scientific apparatus. Students are engaged in hands-on experiments, while colorful posters illustrating the scientific method adorn the walls.","","true","false"
"item_0080","A tranquil zen garden features meticulously raked gravel paths surrounded by smooth stones and carefully placed shrubs. A small water feature adds soothing sounds, inviting contemplation and peace.","","true","false"
"item_0081","In a botanical garden’s tropical section, exotic plants flourish under a glass dome. Visitors wander through lush greenery and vibrant blooms, taking in the beauty of nature preserved within.","","true","false"
"item_0082","A lively festival ground bursts with colors from stalls selling crafts and artisan foods. Crowds gather around a stage for live music, while balloons float gently in the air under warm sun.","","true","false"
"item_0083","In a historic train station, ornate architecture enchants with intricate moldings and benches for waiting travelers. Platforms bustle with activity as trains arrive and depart against a backdrop of vintage signs.","","true","false"
"item_0084","A retro video game arcade features rows of bright machines and pinball tables buzzing with activity. Players are immersed in their games, with neon lights flickering and music pulsating in the air.","","true","false"
"item_0085","In a busy restaurant kitchen, chefs move efficiently among sizzling pans and chopping boards. The atmosphere buzzes with coordinated chaos as orders are shouted and dishes are plated beautifully.","","true","false"
"item_0086","At a traditional holiday market, stalls brim with handmade ornaments and festive treats, while cheerful music fills the air. Families stroll through, absorbing the warm atmosphere and seasonal spirit.","","true","false"
"item_0087","A cozy reading room features a large bay window with soft cushions, inviting readers to curl up with a book. Shelves filled with novels frame the space, while soft lighting creates a peaceful environment.","","true","false"
"item_0088","On a sandy beach at sunset, a group of friends gathers around a bonfire, roasting marshmallows. A guitar strums softly, while the sky is filled with warm hues of orange and pink, painting the horizon.","","true","false"
"item_0089","In an expansive botanical garden, a fragrant rose garden bursts with an array of colors. Visitors stroll along winding paths, capturing the beauty of peonies and lilies in bloom under the sunlight.","","true","false"
"item_0090","A colorful toy store sparkles with shelves lined with action figures, dolls, and puzzles. A play area invites children to explore new toys, while adults browse happily amidst the cheerful decor.","","true","false"
"item_0091","In a modern co-working space, sleek desks are occupied by professionals focused on their work. Large windows fill the area with light, while collaborative spaces encourage networking and creativity.","","true","false"
"item_0092","A grand opera house features an ornate stage adorned with lavish curtains and gilded decorations. The anticipation of an audience fills the air, as chandeliers shimmer overhead with elegance.","","true","false"
"item_0093","At a cozy outdoor café, wrought iron tables are adorned with flower vases, while patrons sip espresso. Potted plants and string lights create a charming atmosphere that invites socializing.","","true","false"
"item_0094","A colorful carnival fills the fairgrounds with flashing lights and joyful laughter. Rides whir around and food stalls brim with candy and popcorn, while families enjoy games and treats together.","","true","false"
"item_0095","In an expansive gymnasium, basketball players race down the court, practicing drills. Colorful banners hang from the rafters, while bleachers are filled with enthusiastic supporters cheering on their teams.","","true","false"
"item_0096","At a modern art exhibit, large sculptures line the floors while exhibit walls display thought-provoking pieces. Patrons leisurely stroll through, appreciating the creativity of each unique work.","","true","false"
"item_0097","A scenic hike features a winding path through dense forest, where sunlight filters through the leaves. A backpack rests against a tree, and a clear stream bubbles nearby, inviting peaceful contemplation.","","true","false"
"item_0098","In a bustling flower shop, bright blooms fill the shelves with vases ready for delivery. A soft scent of flowers wafts through the air as customers discuss arrangements with knowledgeable staff members.","","true","false"
"item_0099","In a large recreational center, families enjoy swimming at the indoor pool. Laughter and splashes fill the air, with colorful floaties and pool toys adding to the cheerful atmosphere.","","true","false"
"item_0100","A peaceful meditation garden features stone pathways leading to tranquil spots adorned with lanterns and calming water features. Lush plants surround the area, inviting visitors to reflect and relax.","","true","false"
